fajl;zakupka;dokument;tip;bajt;stranic;znakov;otkaz;skan_ili_pusto;sha256;kopiya_ot
eis_f_32009273122_1.bin;32009273122;Документация компр.конденс.блок.doc;отказ;142;0;0;1;;2f73595502a7f0d3;
eis_f_32009273122_2.bin;32009273122;Проект договора.doc;отказ;142;0;0;1;;cf5fc7419b43390e;
eis_f_32009273122_3.bin;32009273122;Приложение №1.doc;отказ;142;0;0;1;;753a3a8ab6b66c01;
eis_f_32009512271_1.bin;32009512271;Проект договора.doc;отказ;142;0;0;1;;d048f81207b8b588;
eis_f_32009512271_2.bin;32009512271;Документация Аукцион компрессор.doc;отказ;142;0;0;1;;358231a201f97a34;
eis_f_32009512271_3.bin;32009512271;Протокол компрессор винтовой.PDF;pdf;874123;2;0;;1;27b291be161a16ad;
eis_f_32009576289_1.bin;32009576289;Документация о закупке ТО агрегатов.doc;отказ;142;0;0;1;;6070b9055e6cf623;
eis_f_32009576289_2.bin;32009576289;Приложение №1 к проекту контракта ТО2 ГКС.doc;отказ;142;0;0;1;;bfc77a91fe1e3e10;
eis_f_32009576289_3.bin;32009576289;проект договора ТО ДКС.(испр).doc;отказ;142;0;0;1;;a52dc5b1ab733695;
eis_f_32009576289_4.bin;32009576289;Руководство по эксплуатации.pdf;отказ;142;0;0;1;;5e3ede140d320f41;
eis_f_32009749138_1.bin;32009749138;Компрессорная установка.zip;отказ;142;0;0;1;;e5d82d0fcc83c0d1;
eis_f_32009749138_2.bin;32009749138;Разъяснения по докум. 2.docx;docx;13312;0;82;;1;fe45a4ff494f4888;
eis_f_32009816129_1.bin;32009816129;проект договора ТО ДКС.(испр).doc;отказ;142;0;0;1;;00357c3008f4f2da;
eis_f_32009816129_2.bin;32009816129;Приложение №1 к проекту контракта ТО2 ГКС.doc;отказ;142;0;0;1;;3c8ac0b74b8ccd94;
eis_f_32009816129_3.bin;32009816129;Приложение №2 Руководство по эксплуатации.pdf;отказ;142;0;0;1;;19842dba0edc139d;
eis_f_32009816129_4.bin;32009816129;Документация о закупке ТО агрегатов.doc;отказ;142;0;0;1;;8d023a1cfe5fdaf3;
eis_f_32009816129_5.bin;32009816129;Разъяснения документации от 23.12.2020.pdf;pdf;468589;1;0;;1;3b07176ce665ad40;
eis_f_32009816129_6.bin;32009816129;Разъяснение 29.12.2020г (1).PDF;pdf;515071;1;0;;1;c9f9c28847595eda;
eis_f_32009816129_7.bin;32009816129;Протокол по ГКС.pdf;pdf;1357389;3;0;;1;be77f600ca774979;
eis_f_32009864839_1.bin;32009864839;Техническое задание.docx;отказ;142;0;0;1;;d7126194cb6d41cb;
eis_f_32009864839_2.bin;32009864839;Форма050_ЗК_90970.docx;отказ;142;0;0;1;;a4e6e04474b933fd;
eis_f_32009864839_3.bin;32009864839;Проект договора.docx;отказ;142;0;0;1;;94c893e90b3d4d55;
eis_f_32009864839_4.bin;32009864839;запрос 1.docx;docx;12419;0;652;;;2562901849015ecc;
eis_f_32009864839_5.bin;32009864839;запрос 2.docx;docx;12237;0;222;;;937060d3f604edc9;
eis_f_32110002060_1.bin;32110002060;Приложение №1 к проекту контракта ТО2 ГКС.doc;отказ;142;0;0;1;;bf1feed2e00dc882;
eis_f_32110002060_2.bin;32110002060;Руководство по эксплуатации.pdf;отказ;142;0;0;1;;84a6d6650ad6152d;
eis_f_32110002060_3.bin;32110002060;Документация о закупке аукц с квалиф ГКС.doc;отказ;142;0;0;1;;4d98d17db0267af1;
eis_f_32110002060_4.bin;32110002060;проект договора ТО ДКС.(испр).odt;отказ;142;0;0;1;;7d03f5d8e16b81cc;
eis_f_32110002060_5.bin;32110002060;итоговый протокол гкс.pdf;pdf;1346762;3;0;;1;3a23f66655cacb83;
eis_f_32110062522_1.bin;32110062522;Проект договора.doc;отказ;142;0;0;1;;ed421f707219027d;
eis_f_32110062522_2.bin;32110062522;Документация Аукцион установка компрессорная.doc;отказ;142;0;0;1;;129bbecaaade9c29;
eis_f_32110062522_3.bin;32110062522;итоговый протокол установка компрессорная.pdf;pdf;1285699;3;0;;1;b55f0137e83005ae;
eis_f_32110062522_4.bin;32110062522;Протокол_проведения_ЭА_(заявка_в_двух_частях)_(системный).docx;docx;18014;0;1265;;;094cd9d2be8732f3;
eis_f_32110062522_5.bin;32110062522;Протокол.pdf;pdf;1588968;4;0;;1;9d9e8b663f99fc25;
eis_f_32110171969_1.bin;32110171969;Форма028.1_ЗП.docx;отказ;142;0;0;1;;7654232b6d346934;
eis_f_32110171969_10.bin;32110171969;Протокол рассмотрения вторых частей заявок.html;html;16107;0;10975;;;ca52f28c6abe24c5;
eis_f_32110171969_2.bin;32110171969;Приложение 10_Требования к банкам.docx;отказ;142;0;0;1;;d1900da5f46d7949;
eis_f_32110171969_3.bin;32110171969;Проект договора поставки.docx;отказ;142;0;0;1;;48414e5b74610487;
eis_f_32110171969_4.bin;32110171969;Требования к продукции.doc;отказ;142;0;0;1;;6f4fda695982e026;
eis_f_32110171969_5.bin;32110171969;ПРОТОКОЛ №32110171969-03.pdf;pdf;987705;3;4659;;;17a05b0997ebc8fb;
eis_f_32110171969_6.bin;32110171969;2021-04-30_15-57-23_Протокол подведения итогов_Форма121_4.docx;docx;115101;0;2486;;;c06d0b07de5e27d5;
eis_f_32110171969_7.bin;32110171969;Протокол рассмотрения и подведения итогов закупки.html;html;16344;0;11061;;;6451aed5c5b23d9d;
eis_f_32110171969_8.bin;32110171969;ПРОТОКОЛ №32110171969-02.pdf;pdf;656242;2;3233;;;c8a18d91b2d0bfae;
eis_f_32110171969_9.bin;32110171969;2021-04-28_14-57-06_Протокол рассмотрения и оценки вторых частей заявок_Форма121_2_5.docx;docx;95343;0;2215;;;988afdfd8d068366;
eis_f_32110268791_1.bin;32110268791;Договор.docx;отказ;142;0;0;1;;f8d33e4a4b1fe3e3;
eis_f_32110268791_2.bin;32110268791;Извещение.docx;отказ;142;0;0;1;;cd97fe61322d0d81;
eis_f_32110268791_3.bin;32110268791;Извещение.docx;отказ;142;0;0;1;;df9fb49960523a92;
eis_f_32110268791_4.bin;32110268791;Договор.docx;отказ;142;0;0;1;;b70a11a3b8870439;
eis_f_32110268791_5.bin;32110268791;Ответ на запрос разъяснений № 5378104.pdf;pdf;324800;2;2453;;;ac168f3ee5c62701;
eis_f_32110268791_6.bin;32110268791;Протокол ЗК 126-21 - Винтовой маслосмазываемый компрессор.pdf;pdf;956954;3;0;;1;5f848504e5ffab1c;
eis_f_32110433186_1.bin;32110433186;проект договора компрессора.docx;отказ;142;0;0;1;;e70d16c508fb1b40;
eis_f_32110433186_2.bin;32110433186;Форма044_ЗК.docx;отказ;142;0;0;1;;d310d7a306b28ad8;
eis_f_32110433186_3.bin;32110433186;Техническое задание компрессоры.docx;отказ;142;0;0;1;;ad5eabe346109620;
eis_f_32110433186_4.bin;32110433186;2021-07-14_12-46-29_Протокол рассмотрения и подведения итогов закупки_Форма159_ЗКЭФ.docx;docx;49385;0;1454;;;6aae203a618e5489;
eis_f_32110433186_5.bin;32110433186;Протокол 1.pdf;pdf;2317890;2;0;;1;303a27493efac415;
eis_f_32110491488_1.bin;32110491488;Форма044_ЗК.docx;отказ;142;0;0;1;;36e5a2f74233f9c7;
eis_f_32110491488_2.bin;32110491488;РАСЧЕТ НМЦ КОМПРЕССОРА.pdf;отказ;142;0;0;1;;28144ff3016d20c3;
eis_f_32110491488_3.bin;32110491488;Техническое задание.docx;отказ;142;0;0;1;;2df97e9dc97c69e3;
eis_f_32110491488_4.bin;32110491488;Проект договора.docx;отказ;142;0;0;1;;0049ae3c74a406c4;
eis_f_32110491488_5.bin;32110491488;Расчет НМЦ.pdf;отказ;142;0;0;1;;20e2d322cc80e126;
eis_f_32110491488_6.bin;32110491488;2021-08-06_14-04-24_Протокол рассмотрения и подведения итогов закупки_Форма159_ЗКЭФ.docx;docx;49379;0;1455;;;0e8f0be079fcbe03;
