inn;predpriyatie;tipy_mashin;sreda_dokazana;marki;sostoyaniy;est;pokupaet;planiruet;srok_sluzhby;vyvod_ekspertizy;data_zakluchenia;data_zakupki;region;sayt;telefony_predpriyatiya;luchshaya_pochta;lyudej_tehnicheskih;lyudej_s_telefonom;lyudi_podrobno;chego_ne_hvataet
2308065678;"ООО ""ГАЗПРОМ ДОБЫЧА КРАСНОДАР""";центробежная | тип не установлен | не установлен | центробежный насос, не компре;газ или иная среда;D 102 | А2-1, | В 41 | В3-1. | ГПА 105-108, | ГПА 108 | ГПА 201-203 | ГПА 201-206,;2;1;1;;any | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | соответствует;30.09.2021;2021-10-04;;;;;0;0;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
3812100646;"ООО ""ГАЗПРОМ ДОБЫЧА ИРКУТСК""";центробежная | не установлен | объект — трубопровод или сооружение, машина лишь ;газ или иная среда;ГПА-16 | Л 13.11 | НС-250-3М | П-101.1 | П-101.2 | УПГ-102;2;1;1;;any;соответствует;27.11.2024;2020-04-27;Иркутская;;;;0;0;;телефон предприятия, сайт, технический человек
8903021599;"ООО ""НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ""";центробежная | тип не установлен | не установлен | вихревая или роторная воздухо;газ или иная среда;GM 7L | БТ10 | БТ11 | ПКМ-4-200;2;1;1;;any;соответствует;31.07.2020;2026-07-23;;;;;0;0;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
8913000816;"АО ""ПУРГАЗ""";центробежная | центробежная по серии | тип не установлен | не установлен | центр;газ или иная среда;160S2 | 16ГЦ2 | 5Р1000/100А | АСВН-80А | АХ 65-50-160Т | В-205 | Д1В-УХЛ, | К-26-1108-ДКС-АПК;1;1;;;any | срок ИСТЁК | срок действует;не в полной мере | соответствует;29.05.2021;;;;;;0;0;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
3663002167;"АО ""ВОРОНЕЖСИНТЕЗКАУЧУК""";центробежная | не установлен | объект — трубопровод или сооружение, машина лишь ;газ или иная среда;2Х-4И-2 | В3.1 | В3.1-РRW-Н-420 | В4-СWS-Е-400 | В4-СWS-Н-400 | В5-СWS-Е-400 | В5-СWS-Н-400 | ДК-5/2,;1;1;;;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год;соответствует;31.08.2022;;;;;;0;0;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
5905021239;"ОАО ""Минеральные удобрения""";центробежная | тип не установлен;газ или иная среда;5ЕН-6В;1;1;;;any | не указан | срок ИСТЁК;соответствует;26.02.2015;;;;;;0;0;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";центробежная | тип не установлен | не установлен | вихревая или роторная воздухо;газ или иная среда;22М-03/41 | 275H-120 | AD1351 | AD2351 | AD2352 | AD2459 | AD2462 | BО-14М-320-6,3М,;1;1;;;any | срок действует;соответствует;31.03.2023;;;;;;0;0;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
1657036630;"АО ""ТАТЭНЕРГО""";центробежная | тип не установлен | не установлен | паровая турбина, не компрессо;газ или иная среда;К 14 | НГ 11-Б, | НД 2,5 | ПГУ-850 | ПТ-60-130;1;1;;;any | срок действует;соответствует;27.12.2023;;;;;;0;0;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
7727557887;"ООО ""ГПБ-ЭНЕРГОЭФФЕКТ""";центробежная | не установлен;газ или иная среда;;1;;1;;;;;2026-06-17;;;;;0;0;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
7728173890;Газпром СПГ Портовая;центробежная | не установлен;газ или иная среда;;1;;1;;;;;2026-03-03;;;;;0;0;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
7719472189;ООО «РУСГАЗШЕЛЬФ»;центробежная | не установлен;газ или иная среда;;1;;1;;;;;2026-07-06;;;;;0;0;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
7725775505;"ООО ""ИНЖИНИРИНГОВЫЙ ЦЕНТР ""КРОНШТАДТ""";центробежная | не установлен;газ или иная среда;ПС-90 | ПС-90ГП-25, | ТУ 3111-001;1;;1;;;;;2025-10-17;;;;;0;0;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
7708153631;"ООО ""Комдиагностика""";центробежная | паровая турбина, не компрессор;газ или иная среда;3MCL007 | М-303 | ПТ-60-130/13 | ТА-11;1;1;;;any | не указан;соответствует;31.08.2015;;;;;;0;0;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
3662139440;"ООО ""ПИ"" (ИНН 3662139440)";центробежная по серии | тип не установлен;газ или иная среда;К01А;1;1;;;не указан;соответствует;22.04.2021;;;;;;0;0;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
